	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
1	2.e-002	9.3644e-007	180.	
2	67.713	1.2411e-006	179.25	
3	81.043	1.4491e-006	178.94	
4	90.245	1.675e-006	178.62	
5	95.884	1.8716e-006	178.34	
6	99.091	2.0148e-006	178.12	
7	100.84	2.1074e-006	177.89	
8	101.77	2.161e-006	177.61	
9	102.25	2.1866e-006	177.37	
10	102.51	2.1972e-006	177.24	
11	102.64	2.2019e-006	177.2	
12	102.71	2.2042e-006	177.18	
13	102.75	2.2054e-006	177.17	
14	102.76	2.206e-006	177.17	
15	102.77	2.2063e-006	177.17	
16	102.78	2.2067e-006	177.17	
17	102.79	2.207e-006	177.17	
18	102.8	2.2073e-006	177.17	
19	102.82	2.2079e-006	177.17	
20	102.86	2.2091e-006	177.17	
21	102.93	2.2114e-006	177.17	
22	103.06	2.2163e-006	177.19	
23	103.32	2.2275e-006	177.28	
24	103.81	2.256e-006	177.45	
25	104.77	2.322e-006	177.57	
26	106.62	2.4621e-006	177.5	
27	110.18	2.7884e-006	177.11	
28	117.07	3.8071e-006	175.78	
29	118.23	4.0691e-006	175.43	
30	124.71	6.7325e-006	171.91	
31	128.88	1.1997e-005	164.83	
32	131.15	2.0662e-005	152.51	
33	132.36	3.126e-005	134.98	
34	132.99	3.8953e-005	117.45	
35	133.32	4.2222e-005	105.13	
36	133.5	4.3228e-005	98.034	
37	133.59	4.3494e-005	94.244	
38	133.63	4.3558e-005	92.264	
39	133.66	4.357e-005	91.236	
40	133.67	4.3571e-005	90.703	
41	133.68	4.3568e-005	90.13	
42	133.7	4.3561e-005	89.557	
43	133.71	4.355e-005	89.024	
44	133.73	4.3518e-005	87.996	
45	133.78	4.3418e-005	86.016	
46	133.87	4.3081e-005	82.226	
47	134.04	4.1946e-005	75.134	
48	134.37	3.8463e-005	62.813	
49	135.02	3.0507e-005	45.281	
50	136.26	1.9714e-005	27.754	
51	138.67	1.0964e-005	15.452	
52	143.08	5.8045e-006	8.6184	
