	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
1	2.e-002	9.8719e-007	180.	
2	67.713	1.31e-006	179.25	
3	81.043	1.5304e-006	178.93	
4	90.245	1.7698e-006	178.62	
5	95.884	1.9782e-006	178.34	
6	99.091	2.13e-006	178.11	
7	100.84	2.2282e-006	177.89	
8	101.77	2.285e-006	177.61	
9	102.25	2.3121e-006	177.36	
10	102.51	2.3233e-006	177.23	
11	102.64	2.3283e-006	177.18	
12	102.71	2.3307e-006	177.17	
13	102.75	2.3319e-006	177.16	
14	102.76	2.3326e-006	177.16	
15	102.77	2.3329e-006	177.16	
16	102.78	2.3332e-006	177.16	
17	102.79	2.3336e-006	177.15	
18	102.8	2.3339e-006	177.15	
19	102.82	2.3346e-006	177.15	
20	102.86	2.3358e-006	177.15	
21	102.93	2.3383e-006	177.16	
22	103.06	2.3434e-006	177.18	
23	103.32	2.3552e-006	177.27	
24	103.81	2.3854e-006	177.44	
25	104.77	2.4553e-006	177.57	
26	106.62	2.6039e-006	177.49	
27	110.18	2.9498e-006	177.1	
28	117.07	4.0296e-006	175.77	
29	118.23	4.3073e-006	175.42	
30	124.71	7.1305e-006	171.9	
31	128.88	1.2712e-005	164.82	
32	131.15	2.1897e-005	152.5	
33	132.36	3.3133e-005	134.97	
34	132.99	4.1289e-005	117.44	
35	133.32	4.4756e-005	105.12	
36	133.5	4.5823e-005	98.025	
37	133.59	4.6106e-005	94.236	
38	133.63	4.6174e-005	92.255	
39	133.66	4.6187e-005	91.227	
40	133.67	4.6188e-005	90.694	
41	133.68	4.6185e-005	90.121	
42	133.7	4.6177e-005	89.549	
43	133.71	4.6165e-005	89.016	
44	133.73	4.6132e-005	87.987	
45	133.78	4.6026e-005	86.007	
46	133.87	4.5669e-005	82.217	
47	134.04	4.4467e-005	75.126	
48	134.37	4.0776e-005	62.804	
49	135.02	3.2344e-005	45.272	
50	136.26	2.0905e-005	27.744	
51	138.67	1.1629e-005	15.441	
52	143.08	6.161e-006	8.6032	
53	146.99	4.2528e-006	6.3603	
54	149.58	3.4864e-006	5.5108	
55	150.96	3.1586e-006	5.0006	
56	151.68	2.9885e-006	4.633	
57	152.06	2.8937e-006	4.4995	
58	152.26	2.8427e-006	4.4919	
59	152.36	2.816e-006	4.5124	
60	152.41	2.8021e-006	4.5305	
61	152.44	2.7949e-006	4.5419	
62	152.45	2.7912e-006	4.5483	
63	152.47	2.7872e-006	4.5557	
64	152.48	2.7832e-006	4.5636	
65	152.5	2.7795e-006	4.5712	
66	152.53	2.7724e-006	4.5872	
67	152.58	2.7587e-006	4.6221	
68	152.68	2.7324e-006	4.7048	
69	152.88	2.6831e-006	4.9182	
70	153.26	2.5943e-006	5.4932	
71	153.99	2.4441e-006	7.006	
72	154.83	2.2955e-006	9.5652	
73	155.64	2.1984e-006	13.714	
74	156.39	2.2374e-006	18.812	
75	156.78	2.3385e-006	20.541	
76	156.98	2.4065e-006	20.748	
77	157.08	2.4428e-006	20.638	
78	157.14	2.4613e-006	20.524	
79	157.17	2.4708e-006	20.45	
80	157.18	2.4756e-006	20.408	
81	157.2	2.4808e-006	20.36	
82	157.21	2.4859e-006	20.309	
83	157.23	2.4906e-006	20.259	
84	157.26	2.4996e-006	20.155	
85	157.31	2.5163e-006	19.931	
86	157.42	2.546e-006	19.416	
87	157.62	2.5916e-006	18.186	
88	158.01	2.6304e-006	15.436	
89	158.77	2.573e-006	10.868	
90	160.23	2.3451e-006	6.4972	
91	163.06	2.0047e-006	4.0498	
92	168.51	1.5995e-006	2.8789	
93	179.04	1.1508e-006	2.146	
94	192.01	8.3772e-007	1.727	
95	199.15	7.2093e-007	1.5778	
96	211.6	5.7121e-007	1.3721	
97	218.67	5.0774e-007	1.1957	
98	222.53	4.7927e-007	0.84848	
99	224.58	4.6528e-007	0.20695	
100	225.66	4.5585e-007	-0.43404	
101	226.22	4.4915e-007	-0.76634	
102	226.51	4.4514e-007	-0.88454	
103	226.66	4.4297e-007	-0.922	
104	226.74	4.4183e-007	-0.93406	
105	226.78	4.4124e-007	-0.93826	
106	226.8	4.4093e-007	-0.93987	
107	226.82	4.406e-007	-0.94117	
108	226.85	4.4027e-007	-0.94203	
109	226.87	4.3997e-007	-0.94243	
110	226.91	4.3938e-007	-0.94212	
111	226.99	4.3824e-007	-0.93745	
112	227.14	4.3607e-007	-0.91368	
113	227.43	4.3209e-007	-0.81809	
114	228.	4.2551e-007	-0.51053	
115	229.09	4.1661e-007	0.12801	
116	231.2	4.0452e-007	0.77382	
117	235.28	3.8244e-007	1.0871	
118	243.15	3.4184e-007	1.1746	
119	258.34	2.7621e-007	1.1989	
120	281.39	2.0152e-007	1.2996	
121	294.98	1.6687e-007	1.4386	
122	313.41	1.2683e-007	1.8222	
123	323.89	1.0621e-007	2.2897	
124	329.6	9.5152e-008	2.7817	
125	332.64	8.9189e-008	3.239	
126	334.23	8.6058e-008	3.586	
127	335.06	8.4446e-008	3.7924	
128	335.5	8.3612e-008	3.9011	
129	335.72	8.3178e-008	3.9571	
130	335.84	8.2953e-008	3.9859	
131	335.9	8.2836e-008	4.0009	
132	335.93	8.2776e-008	4.0086	
133	335.96	8.2711e-008	4.0168	
134	336.	8.2646e-008	4.0251	
135	336.03	8.2585e-008	4.0328	
136	336.09	8.2468e-008	4.0476	
137	336.21	8.224e-008	4.0762	
138	336.43	8.18e-008	4.1312	
139	336.87	8.0938e-008	4.2382	
140	337.7	7.9226e-008	4.4598	
141	339.32	7.5734e-008	5.0286	
142	342.45	6.8439e-008	7.1894	
143	343.5	6.5864e-008	8.4887	
144	344.39	6.3693e-008	9.9817	
145	347.56	5.8604e-008	20.564	
146	349.23	6.3027e-008	28.465	
147	350.1	6.874e-008	30.359	
148	350.55	7.2176e-008	30.192	
149	350.79	7.3932e-008	29.792	
150	350.91	7.4812e-008	29.508	
151	350.97	7.5256e-008	29.341	
152	351.	7.5483e-008	29.25	
153	351.04	7.5724e-008	29.148	
154	351.07	7.5962e-008	29.043	
155	351.11	7.6181e-008	28.942	
156	351.17	7.6595e-008	28.738	
157	351.29	7.7361e-008	28.315	
158	351.53	7.8703e-008	27.402	
159	351.98	8.0707e-008	25.39	
160	352.86	8.2319e-008	21.241	
161	354.55	7.9727e-008	14.792	
162	357.82	6.9936e-008	9.0109	
163	364.12	5.473e-008	6.6839	
164	376.3	3.2742e-008	9.174	
165	399.82	9.3429e-009	137.72	
166	416.59	3.9224e-008	167.82	
167	423.32	5.3711e-008	169.8	
168	449.77	1.3579e-007	171.23	
169	464.81	2.3026e-007	168.67	
170	473.01	3.3337e-007	163.3	
171	477.37	4.2303e-007	155.01	
172	479.65	4.6897e-007	146.65	
173	480.85	4.7932e-007	141.23	
174	481.47	4.782e-007	138.47	
175	481.79	4.758e-007	137.14	
176	481.96	4.741e-007	136.49	
177	482.05	4.7311e-007	136.17	
178	482.09	4.7256e-007	136.01	
179	482.14	4.7196e-007	135.83	
180	482.19	4.7134e-007	135.66	
181	482.23	4.7074e-007	135.51	
182	482.32	4.6954e-007	135.22	
183	482.49	4.6706e-007	134.69	
184	482.81	4.6184e-007	133.81	
185	483.43	4.5109e-007	132.64	
186	484.64	4.3522e-007	132.36	
187	486.96	4.5156e-007	134.74	
188	487.88	4.7512e-007	134.8	
189	488.72	5.0287e-007	133.87	
190	491.07	5.8607e-007	125.61	
191	492.29	6.1089e-007	118.14	
192	492.93	6.1152e-007	113.75	
193	493.26	6.078e-007	111.43	
194	493.43	6.0475e-007	110.23	
195	493.52	6.0287e-007	109.62	
196	493.56	6.0182e-007	109.3	
197	493.61	6.0062e-007	108.96	
198	493.66	5.9937e-007	108.63	
199	493.71	5.9815e-007	108.31	
200	493.8	5.9564e-007	107.71	
201	493.97	5.9026e-007	106.58	
202	494.3	5.7798e-007	104.48	
203	494.94	5.4837e-007	100.91	
204	496.17	4.7931e-007	96.555	
205	498.55	3.6497e-007	99.803	
206	503.14	3.6897e-007	126.82	
207	505.23	4.5053e-007	133.5	
208	507.06	5.5204e-007	135.36	
209	511.74	9.6726e-007	125.61	
210	514.19	1.2771e-006	110.26	
211	515.47	1.4203e-006	98.814	
212	516.14	1.4721e-006	92.13	
213	516.48	1.4903e-006	88.541	
214	516.66	1.4971e-006	86.662	
215	516.75	1.4999e-006	85.685	
216	516.8	1.5011e-006	85.179	
217	516.85	1.5023e-006	84.635	
218	516.91	1.5034e-006	84.09	
219	516.95	1.5042e-006	83.583	
220	517.05	1.5054e-006	82.605	
221	517.23	1.5064e-006	80.721	
222	517.57	1.503e-006	77.112	
223	518.24	1.4785e-006	70.354	
224	519.53	1.3805e-006	58.632	
225	522.02	1.1274e-006	42.149	
226	526.83	7.5588e-007	26.645	
227	529.39	6.3051e-007	23.074	
228	531.65	5.4546e-007	21.614	
229	536.55	4.2441e-007	24.183	
230	539.13	4.0567e-007	28.334	
231	540.47	4.1264e-007	29.577	
232	541.17	4.19e-007	29.502	
233	541.53	4.2241e-007	29.239	
234	541.72	4.241e-007	29.045	
235	541.81	4.2494e-007	28.929	
236	541.87	4.2537e-007	28.866	
237	541.92	4.2582e-007	28.794	
238	541.97	4.2625e-007	28.72	
239	542.02	4.2665e-007	28.648	
240	542.12	4.274e-007	28.502	
241	542.31	4.2872e-007	28.197	
242	542.67	4.3078e-007	27.525	
243	543.37	4.326e-007	26.002	
244	544.73	4.2768e-007	22.737	
245	547.34	3.9779e-007	17.433	
246	552.38	3.3065e-007	12.481	
247	554.78	3.0363e-007	11.56	
