	Frequency [Hz]	Amplitude [mm]	Phase Angle [°]	
1	2.e-002	9.3763e-007	180.	
2	67.713	1.2433e-006	179.25	
3	81.043	1.452e-006	178.94	
4	90.245	1.6787e-006	178.62	
5	95.884	1.8763e-006	178.34	
6	99.091	2.0208e-006	178.1	
7	100.84	2.1148e-006	177.85	
8	101.77	2.1693e-006	177.52	
9	102.25	2.1944e-006	177.22	
10	102.51	2.204e-006	177.07	
11	102.64	2.2079e-006	177.01	
12	102.71	2.2098e-006	176.99	
13	102.75	2.2107e-006	176.99	
14	102.76	2.2112e-006	176.98	
15	102.77	2.2114e-006	176.98	
16	102.78	2.2117e-006	176.98	
17	102.79	2.212e-006	176.98	
18	102.8	2.2122e-006	176.98	
19	102.82	2.2127e-006	176.98	
20	102.86	2.2136e-006	176.98	
21	102.93	2.2155e-006	176.99	
22	103.06	2.2195e-006	177.02	
23	103.32	2.2296e-006	177.13	
24	103.81	2.2575e-006	177.35	
25	104.77	2.3242e-006	177.53	
26	106.62	2.4658e-006	177.48	
27	110.18	2.794e-006	177.1	
28	117.07	3.8164e-006	175.77	
29	118.23	4.0792e-006	175.43	
30	124.71	6.7516e-006	171.91	
31	128.88	1.2035e-005	164.82	
32	131.15	2.0729e-005	152.5	
33	132.36	3.1366e-005	134.97	
34	132.99	3.9086e-005	117.44	
35	133.32	4.2368e-005	105.12	
36	133.5	4.3377e-005	98.027	
37	133.59	4.3645e-005	94.237	
38	133.63	4.3709e-005	92.257	
39	133.66	4.3722e-005	91.228	
40	133.67	4.3723e-005	90.695	
41	133.68	4.372e-005	90.123	
42	133.7	4.3713e-005	89.55	
43	133.71	4.3702e-005	89.017	
44	133.73	4.367e-005	87.989	
45	133.78	4.3569e-005	86.008	
46	133.87	4.3232e-005	82.219	
47	134.04	4.2093e-005	75.127	
48	134.37	3.8599e-005	62.805	
49	135.02	3.0617e-005	45.273	
50	136.26	1.9789e-005	27.745	
51	138.67	1.1008e-005	15.44	
52	143.08	5.8335e-006	8.5933	
53	146.99	4.0302e-006	6.319	
54	149.58	3.3095e-006	5.3644	
55	150.96	3.0012e-006	4.6414	
56	151.68	2.8359e-006	4.0556	
57	152.06	2.7401e-006	3.8069	
58	152.26	2.6875e-006	3.7579	
59	152.36	2.6599e-006	3.7652	
60	152.41	2.6455e-006	3.779	
61	152.44	2.638e-006	3.789	
62	152.45	2.6342e-006	3.7949	
63	152.47	2.63e-006	3.8018	
64	152.48	2.6259e-006	3.8094	
65	152.5	2.622e-006	3.817	
66	152.53	2.6146e-006	3.8331	
67	152.58	2.6004e-006	3.8698	
68	152.68	2.5732e-006	3.9614	
69	152.88	2.5223e-006	4.2105	
70	153.26	2.4326e-006	4.9027	
71	153.99	2.2875e-006	6.6721	
72	154.83	2.1487e-006	9.452	
73	155.64	2.0598e-006	13.773	
74	156.39	2.1008e-006	19.005	
75	156.78	2.1992e-006	20.764	
76	156.98	2.265e-006	20.969	
77	157.08	2.3e-006	20.856	
78	157.14	2.3179e-006	20.739	
79	157.17	2.327e-006	20.663	
80	157.18	2.3317e-006	20.62	
81	157.2	2.3367e-006	20.571	
82	157.21	2.3416e-006	20.519	
83	157.23	2.3461e-006	20.467	
84	157.26	2.3548e-006	20.362	
85	157.31	2.3709e-006	20.133	
86	157.42	2.3996e-006	19.608	
87	157.62	2.4436e-006	18.358	
88	158.01	2.4815e-006	15.568	
89	158.77	2.4281e-006	10.943	
90	160.23	2.2126e-006	6.5248	
91	163.06	1.8909e-006	4.0579	
92	168.51	1.5082e-006	2.8842	
93	179.04	1.0842e-006	2.1531	
94	192.01	7.8833e-007	1.7351	
95	199.15	6.7798e-007	1.5854	
96	211.6	5.3677e-007	1.3689	
97	218.67	4.7748e-007	1.1468	
98	222.53	4.516e-007	0.66122	
99	224.58	4.3899e-007	-0.25461	
100	225.66	4.2947e-007	-1.1777	
101	226.22	4.2206e-007	-1.6628	
102	226.51	4.1748e-007	-1.8388	
103	226.66	4.1498e-007	-1.8962	
104	226.74	4.1366e-007	-1.9154	
105	226.78	4.1297e-007	-1.9223	
106	226.8	4.1262e-007	-1.9252	
107	226.82	4.1224e-007	-1.9275	
108	226.85	4.1185e-007	-1.9293	
109	226.87	4.115e-007	-1.9303	
110	226.91	4.1081e-007	-1.9308	
111	226.99	4.0949e-007	-1.9257	
112	227.14	4.0698e-007	-1.8944	
113	227.43	4.0239e-007	-1.7608	
114	228.	3.9499e-007	-1.3184	
115	229.09	3.8586e-007	-0.3841	
116	231.2	3.7502e-007	0.56976	
117	235.28	3.5523e-007	1.0392	
118	243.15	3.1755e-007	1.1824	
119	258.34	2.5575e-007	1.2317	
120	281.39	1.8498e-007	1.3616	
121	294.98	1.5203e-007	1.527	
122	313.41	1.1383e-007	1.9751	
123	323.89	9.4122e-008	2.5135	
124	329.6	8.3551e-008	3.0663	
125	332.64	7.7856e-008	3.5621	
126	334.23	7.4852e-008	3.9304	
127	335.06	7.3295e-008	4.1516	
128	335.5	7.2486e-008	4.2706	
129	335.72	7.2066e-008	4.3329	
130	335.84	7.1847e-008	4.3653	
131	335.9	7.1734e-008	4.3821	
132	335.93	7.1675e-008	4.3909	
133	335.96	7.1612e-008	4.4002	
134	336.	7.1549e-008	4.4096	
135	336.03	7.149e-008	4.4184	
136	336.09	7.1376e-008	4.4353	
137	336.21	7.1156e-008	4.468	
138	336.43	7.0729e-008	4.5317	
139	336.87	6.9895e-008	4.6575	
140	337.7	6.8248e-008	4.9216	
141	339.32	6.4917e-008	5.591	
142	342.45	5.8018e-008	8.057	
143	343.5	5.5598e-008	9.5284	
144	344.39	5.357e-008	11.217	
145	347.56	4.9006e-008	23.09	
146	349.23	5.3345e-008	31.568	
147	350.1	5.8647e-008	33.368	
148	350.55	6.1767e-008	33.054	
149	350.79	6.3343e-008	32.561	
150	350.91	6.4128e-008	32.226	
151	350.97	6.4523e-008	32.033	
152	351.	6.4725e-008	31.928	
153	351.04	6.4938e-008	31.811	
