	Frequency [Hz]	Amplitude [mm/s]	Phase Angle [°]	
1	2.e-002	3.0346e-008	90.	
2	67.713	1.4306e-004	89.153	
3	81.043	2.0429e-004	88.82	
4	90.245	2.675e-004	88.486	
5	95.884	3.2114e-004	88.204	
6	99.091	3.5945e-004	87.997	
7	100.84	3.8359e-004	87.84	
8	101.77	3.9751e-004	87.701	
9	102.25	4.0491e-004	87.594	
10	102.51	4.0868e-004	87.539	
11	102.64	4.1061e-004	87.516	
12	102.71	4.116e-004	87.507	
13	102.75	4.1212e-004	87.503	
14	102.76	4.1239e-004	87.502	
15	102.77	4.1253e-004	87.501	
16	102.78	4.1268e-004	87.5	
17	102.79	4.1283e-004	87.499	
18	102.8	4.1297e-004	87.498	
19	102.82	4.1324e-004	87.497	
20	102.86	4.1376e-004	87.495	
21	102.93	4.1477e-004	87.492	
22	103.06	4.1676e-004	87.493	
23	103.32	4.2075e-004	87.505	
24	103.81	4.2903e-004	87.531	
25	104.77	4.4631e-004	87.513	
26	106.62	4.8308e-004	87.363	
27	110.18	5.6987e-004	86.937	
28	117.07	8.413e-004	85.58	
29	118.23	9.1104e-004	85.231	
30	124.71	1.6195e-003	81.688	
31	128.88	3.0207e-003	74.59	
32	131.15	5.3324e-003	62.264	
33	132.36	8.1743e-003	44.727	
34	132.99	1.0256e-002	27.192	
35	133.32	1.1157e-002	14.868	
36	133.5	1.1444e-002	7.7757	
37	133.59	1.1526e-002	3.9855	
38	133.63	1.1549e-002	2.005	
39	133.66	1.1555e-002	0.97663	
40	133.67	1.1557e-002	0.44359	
41	133.68	1.1558e-002	-0.12931	
42	133.7	1.1557e-002	-0.7022	
43	133.71	1.1556e-002	-1.2352	
44	133.73	1.1551e-002	-2.2636	
45	133.78	1.153e-002	-4.2441	
46	133.87	1.1451e-002	-8.0343	
47	134.04	1.1171e-002	-15.127	
48	134.37	1.028e-002	-27.45	
49	135.02	8.2111e-003	-44.986	
50	136.26	5.3786e-003	-62.521	
51	138.67	3.0706e-003	-74.84	
52	143.08	1.7071e-003	-81.726	
53	146.99	1.2323e-003	-84.065	
54	149.58	1.0435e-003	-85.094	
55	150.96	9.6335e-004	-85.851	
56	151.68	9.203e-004	-86.446	
57	152.06	8.9513e-004	-86.717	
58	152.26	8.8125e-004	-86.792	
59	152.36	8.7394e-004	-86.804	
60	152.41	8.7013e-004	-86.802	
61	152.44	8.6816e-004	-86.799	
62	152.45	8.6714e-004	-86.796	
63	152.47	8.6604e-004	-86.794	
64	152.48	8.6495e-004	-86.79	
65	152.5	8.6393e-004	-86.786	
66	152.53	8.6197e-004	-86.778	
67	152.58	8.582e-004	-86.757	
68	152.68	8.51e-004	-86.701	
69	152.88	8.3757e-004	-86.534	
70	153.26	8.1397e-004	-86.048	
71	153.99	7.7623e-004	-84.831	
72	154.83	7.4e-004	-83.039	
73	155.64	7.1417e-004	-80.317	
74	156.39	7.159e-004	-76.838	
75	156.78	7.3429e-004	-75.464	
76	156.98	7.4777e-004	-75.182	
77	157.08	7.5519e-004	-75.183	
78	157.14	7.5903e-004	-75.225	
79	157.17	7.6101e-004	-75.257	
80	157.18	7.6203e-004	-75.276	
81	157.2	7.6311e-004	-75.299	
82	157.21	7.6419e-004	-75.324	
83	157.23	7.6519e-004	-75.35	
84	157.26	7.6709e-004	-75.404	
85	157.31	7.7066e-004	-75.527	
86	157.42	7.7709e-004	-75.828	
87	157.62	7.872e-004	-76.602	
88	158.01	7.9641e-004	-78.453	
89	158.77	7.8471e-004	-81.677	
90	160.23	7.3356e-004	-84.827	
91	163.06	6.5415e-004	-86.628	
92	168.51	5.5666e-004	-87.573	
93	179.04	4.4703e-004	-88.27	
94	192.01	3.7075e-004	-88.729	
95	199.15	3.4274e-004	-88.91	
96	211.6	3.0795e-004	-89.183	
97	218.67	2.943e-004	-89.401	
98	222.53	2.8906e-004	-89.764	
99	224.58	2.8665e-004	-90.4	
100	225.66	2.8405e-004	-91.026	
101	226.22	2.8158e-004	-91.35	
102	226.51	2.7996e-004	-91.466	
103	226.66	2.7907e-004	-91.503	
104	226.74	2.7859e-004	-91.515	
105	226.78	2.7834e-004	-91.519	
106	226.8	2.7822e-004	-91.521	
107	226.82	2.7808e-004	-91.522	
108	226.85	2.7794e-004	-91.523	
109	226.87	2.7781e-004	-91.523	
110	226.91	2.7756e-004	-91.523	
111	226.99	2.7709e-004	-91.519	
112	227.14	2.7619e-004	-91.497	
113	227.43	2.7456e-004	-91.406	
114	228.	2.7206e-004	-91.112	
115	229.09	2.6951e-004	-90.504	
116	231.2	2.6759e-004	-89.898	
117	235.28	2.6421e-004	-89.631	
118	243.15	2.5727e-004	-89.617	
119	258.34	2.4705e-004	-89.756	
120	281.39	2.4012e-004	-89.995	
121	294.98	2.4031e-004	-90.146	
122	313.41	2.4552e-004	-90.384	
123	323.89	2.5145e-004	-90.57	
124	329.6	2.5595e-004	-90.74	
125	332.64	2.588e-004	-90.915	
126	334.23	2.6026e-004	-91.059	
127	335.06	2.6091e-004	-91.137	
128	335.5	2.6123e-004	-91.171	
129	335.72	2.6138e-004	-91.185	
130	335.84	2.6147e-004	-91.192	
131	335.9	2.6151e-004	-91.195	
132	335.93	2.6153e-004	-91.197	
133	335.96	2.6155e-004	-91.198	
134	336.	2.6158e-004	-91.2	
135	336.03	2.616e-004	-91.201	
136	336.09	2.6164e-004	-91.204	
137	336.21	2.6173e-004	-91.209	
138	336.43	2.619e-004	-91.216	
139	336.87	2.6224e-004	-91.225	
140	337.7	2.6303e-004	-91.23	
141	339.32	2.6499e-004	-91.259	
142	342.45	2.6984e-004	-91.533	
143	343.5	2.7172e-004	-91.717	
144	344.39	2.7342e-004	-91.927	
145	347.56	2.793e-004	-93.443	
146	349.23	2.7927e-004	-94.983	
147	350.1	2.7654e-004	-95.815	
148	350.55	2.7427e-004	-96.13	
149	350.79	2.7292e-004	-96.24	
150	350.91	2.7219e-004	-96.279	
151	350.97	2.7181e-004	-96.295	
152	351.	2.7161e-004	-96.301	
153	351.04	2.714e-004	-96.308	
154	351.07	2.7118e-004	-96.313	
155	351.11	2.7098e-004	-96.317	
156	351.17	2.7059e-004	-96.321	
157	351.29	2.6984e-004	-96.321	
158	351.53	2.6842e-004	-96.283	
159	351.98	2.6591e-004	-96.085	
160	352.86	2.6253e-004	-95.373	
161	354.55	2.6161e-004	-93.812	
162	357.82	2.6761e-004	-92.218	
163	364.12	2.8027e-004	-91.51	
164	376.3	3.0381e-004	-91.504	
165	399.82	3.6539e-004	-92.139	
166	416.59	4.3593e-004	-92.903	
167	423.32	4.7506e-004	-93.32	
168	449.77	7.6539e-004	-96.336	
169	464.81	1.2215e-003	-101.18	
170	473.01	1.8291e-003	-108.69	
171	477.37	2.4316e-003	-118.94	
172	479.65	2.7884e-003	-128.85	
173	480.85	2.9061e-003	-135.28	
174	481.47	2.9294e-003	-138.63	
175	481.79	2.9301e-003	-140.28	
176	481.96	2.9277e-003	-141.1	
177	482.05	2.9257e-003	-141.51	
178	482.09	2.9245e-003	-141.72	
179	482.14	2.923e-003	-141.94	
180	482.19	2.9214e-003	-142.16	
181	482.23	2.9199e-003	-142.36	
182	482.32	2.9165e-003	-142.74	
183	482.49	2.9089e-003	-143.45	
184	482.81	2.8912e-003	-144.67	
185	483.43	2.8516e-003	-146.49	
186	484.64	2.8048e-003	-147.97	
187	486.96	3.0615e-003	-147.67	
188	487.88	3.3132e-003	-148.55	
189	488.72	3.6149e-003	-150.53	
190	491.07	4.6687e-003	-163.02	
191	492.29	5.1859e-003	-173.71	
192	492.93	5.3789e-003	179.86	
193	493.26	5.4486e-003	176.37	
194	493.43	5.4756e-003	174.53	
195	493.52	5.4871e-003	173.57	
196	493.56	5.4923e-003	173.08	
197	493.61	5.4974e-003	172.54	
198	493.66	5.502e-003	172.01	
199	493.71	5.5057e-003	171.51	
200	493.8	5.5116e-003	170.55	
201	493.97	5.518e-003	168.69	
202	494.3	5.5117e-003	165.12	
203	494.94	5.4353e-003	158.39	
204	496.17	5.1056e-003	146.59	
205	498.55	4.2377e-003	129.52	
206	503.14	2.9954e-003	111.25	
207	505.23	2.6557e-003	105.79	
208	507.06	2.4365e-003	101.36	
209	511.74	2.0775e-003	87.649	
210	514.19	1.886e-003	76.084	
211	515.47	1.7251e-003	68.573	
212	516.14	1.6168e-003	64.592	
213	516.48	1.5543e-003	62.606	
214	516.66	1.5204e-003	61.615	
215	516.75	1.5025e-003	61.115	
216	516.8	1.4932e-003	60.86	
217	516.85	1.4831e-003	60.589	
218	516.91	1.4729e-003	60.321	
219	516.95	1.4634e-003	60.075	
220	517.05	1.4449e-003	59.609	
221	517.23	1.4089e-003	58.745	
222	517.57	1.3382e-003	57.23	
223	518.24	1.202e-003	54.992	
224	519.53	9.6413e-004	53.768	
225	522.02	6.8184e-004	61.772	
226	526.83	5.68e-004	80.709	
227	529.39	5.6509e-004	84.854	
228	531.65	5.6542e-004	86.278	
229	536.55	5.6163e-004	83.998	
230	539.13	5.4171e-004	79.543	
231	540.47	5.1638e-004	76.663	
232	541.17	4.9815e-004	75.336	
233	541.53	4.8754e-004	74.769	
234	541.72	4.8181e-004	74.519	
235	541.81	4.7878e-004	74.402	
236	541.87	4.7721e-004	74.345	
237	541.92	4.7551e-004	74.287	
238	541.97	4.738e-004	74.232	
239	542.02	4.722e-004	74.183	
240	542.12	4.691e-004	74.097	
241	542.31	4.6309e-004	73.961	
242	542.67	4.5146e-004	73.816	
243	543.37	4.2978e-004	73.985	
244	544.73	3.9516e-004	75.781	
245	547.34	3.6204e-004	81.289	
246	552.38	3.5302e-004	87.427	
247	554.78	3.5311e-004	88.392	
248	556.88	3.534e-004	88.659	
249	562.01	3.5495e-004	87.506	
250	564.71	3.5516e-004	85.787	
251	566.11	3.5414e-004	84.642	
252	566.85	3.5327e-004	84.031	
253	567.23	3.5279e-004	83.719	
254	567.42	3.5253e-004	83.559	
255	567.52	3.5241e-004	83.476	
256	567.58	3.5234e-004	83.434	
257	567.63	3.5227e-004	83.388	
258	567.69	3.522e-004	83.342	
259	567.74	3.5214e-004	83.3	
260	567.85	3.5202e-004	83.218	
261	568.04	3.5181e-004	83.062	
262	568.42	3.5145e-004	82.761	
263	569.16	3.5108e-004	82.173	
264	570.57	3.5194e-004	80.878	
265	573.31	3.5832e-004	76.724	
266	573.78	3.5953e-004	75.665	
267	574.19	3.6044e-004	74.652	
268	576.94	3.5649e-004	64.988	
269	578.38	3.3929e-004	58.167	
270	579.13	3.2412e-004	54.47	
271	579.51	3.1455e-004	52.613	
272	579.71	3.0917e-004	51.685	
273	579.82	3.0629e-004	51.215	
274	579.87	3.0476e-004	50.976	
275	579.93	3.0311e-004	50.721	
276	579.99	3.0143e-004	50.47	
277	580.04	2.9986e-004	50.238	
278	580.15	2.9677e-004	49.801	
279	580.35	2.9066e-004	48.989	
280	580.74	2.7841e-004	47.568	
281	581.49	2.5383e-004	45.486	
282	582.93	2.0854e-004	44.527	
283	585.73	1.5198e-004	53.47	
284	591.13	1.3385e-004	76.004	
285	598.3	1.4135e-004	86.648	
286	604.98	1.433e-004	89.847	
287	610.56	1.4202e-004	91.382	
288	613.49	1.4124e-004	92.162	
289	615.01	1.4112e-004	92.516	
290	615.81	1.4114e-004	92.65	
291	616.22	1.4116e-004	92.701	
292	616.43	1.4118e-004	92.722	
293	616.55	1.4118e-004	92.731	
294	616.6	1.4119e-004	92.736	
295	616.66	1.4119e-004	92.74	
296	616.73	1.4119e-004	92.744	
297	616.78	1.412e-004	92.748	
298	616.89	1.412e-004	92.754	
299	617.11	1.4121e-004	92.763	
300	617.52	1.4121e-004	92.769	
301	618.32	1.4117e-004	92.748	
302	619.86	1.4082e-004	92.626	
303	622.83	1.3928e-004	92.353	
304	628.57	1.3514e-004	92.128	
305	639.65	1.2699e-004	92.098	
306	661.04	1.1273e-004	92.093	
307	702.35	9.1264e-005	91.949	
308	782.1	6.5494e-005	91.657	
309	936.06	4.1692e-005	91.296	
310	1000.	3.6165e-005	91.194	
