	Frequency [Hz]	Amplitude [mm/s]	Phase Angle [°]	
1	2.e-002	1.4056e-009	-90.	
2	67.713	1.0775e-005	-91.712	
3	81.043	2.1943e-005	-92.958	
4	90.245	4.5387e-005	-95.178	
5	95.884	9.2686e-005	-99.186	
6	99.091	1.8248e-004	-106.44	
7	100.84	3.3287e-004	-118.87	
8	101.77	5.1984e-004	-136.47	
9	102.25	6.5886e-004	-154.04	
10	102.51	7.2059e-004	-166.38	
11	102.64	7.4121e-004	-173.48	
12	102.71	7.476e-004	-177.28	
13	102.75	7.4964e-004	-179.26	
14	102.76	7.5035e-004	179.71	
15	102.77	7.5062e-004	179.18	
16	102.78	7.5084e-004	178.6	
17	102.79	7.5099e-004	178.03	
18	102.8	7.5106e-004	177.5	
19	102.82	7.51e-004	176.47	
20	102.86	7.5022e-004	174.48	
21	102.93	7.4623e-004	170.69	
22	103.06	7.3005e-004	163.58	
23	103.32	6.7565e-004	151.24	
24	103.81	5.4566e-004	133.67	
25	104.77	3.6545e-004	116.05	
26	106.62	2.1849e-004	103.55	
27	110.18	1.3185e-004	96.031	
28	117.07	9.5023e-005	90.801	
29	118.23	9.4259e-005	90.108	
30	124.71	1.1427e-004	85.041	
31	128.88	1.8058e-004	76.926	
32	131.15	2.9966e-004	63.914	
33	132.36	4.487e-004	45.95	
34	132.99	5.5771e-004	28.169	
35	133.32	6.0423e-004	15.711	
36	133.5	6.1861e-004	8.5462	
37	133.59	6.2246e-004	4.7182	
38	133.63	6.234e-004	2.718	
39	133.66	6.236e-004	1.6793	
40	133.67	6.2362e-004	1.1409	
41	133.68	6.2359e-004	0.56228	
42	133.7	6.2349e-004	-1.6371e-002	
43	133.71	6.2335e-004	-0.55477	
44	133.73	6.2292e-004	-1.5935	
45	133.78	6.2154e-004	-3.5941	
46	133.87	6.1684e-004	-7.4234	
47	134.04	6.009e-004	-14.593	
48	134.37	5.5183e-004	-27.068	
49	135.02	4.398e-004	-44.913	
50	136.26	2.8908e-004	-63.113	
51	138.67	1.7172e-004	-77.028	
52	143.08	1.198e-004	-88.539	
53	146.99	1.3908e-004	-99.355	
54	149.58	2.127e-004	-114.55	
55	150.96	3.1337e-004	-133.9	
56	151.68	3.8952e-004	-152.6	
57	152.06	4.2314e-004	-165.61	
58	152.26	4.3415e-004	-173.1	
59	152.36	4.3744e-004	-177.1	
60	152.41	4.3844e-004	-179.2	
61	152.44	4.3876e-004	179.71	
62	152.45	4.3887e-004	179.15	
63	152.47	4.3895e-004	178.54	
64	152.48	4.3899e-004	177.94	
65	152.5	4.3899e-004	177.37	
66	152.53	4.3888e-004	176.28	
67	152.58	4.383e-004	174.18	
68	152.68	4.3579e-004	170.15	
69	152.88	4.2626e-004	162.57	
70	153.26	3.9527e-004	149.18	
71	153.99	3.2345e-004	128.98	
72	154.83	2.6001e-004	112.15	
73	155.64	2.1943e-004	97.328	
74	156.39	1.8732e-004	80.978	
75	156.78	1.6665e-004	70.908	
76	156.98	1.5395e-004	65.504	
77	157.08	1.4685e-004	62.746	
78	157.14	1.4306e-004	61.346	
79	157.17	1.4107e-004	60.63	
80	157.18	1.4003e-004	60.263	
81	157.2	1.3891e-004	59.87	
82	157.21	1.3779e-004	59.481	
83	157.23	1.3674e-004	59.121	
84	157.26	1.347e-004	58.433	
85	157.31	1.3074e-004	57.137	
86	157.42	1.2304e-004	54.767	
87	157.62	1.0828e-004	50.812	
88	158.01	8.2395e-005	46.188	
89	158.77	4.954e-005	49.955	
90	160.23	3.2752e-005	75.833	
91	163.06	3.0298e-005	91.18	
92	168.51	2.5966e-005	92.38	
93	179.04	2.242e-005	90.433	
94	192.01	2.3729e-005	88.633	
95	199.15	2.6762e-005	87.501	
96	211.6	4.0944e-005	83.623	
97	218.67	6.8231e-005	76.565	
98	222.53	1.1332e-004	64.284	
99	224.58	1.6814e-004	46.777	
100	225.66	2.0737e-004	29.258	
101	226.22	2.2357e-004	16.944	
102	226.51	2.2825e-004	9.8568	
103	226.66	2.2932e-004	6.0694	
104	226.74	2.2948e-004	4.0903	
105	226.78	2.2946e-004	3.0626	
106	226.8	2.2942e-004	2.5299	
107	226.82	2.2935e-004	1.9574	
108	226.85	2.2926e-004	1.3849	
109	226.87	2.2916e-004	0.85228	
110	226.91	2.289e-004	-0.17537	
111	226.99	2.282e-004	-2.1545	
112	227.14	2.2609e-004	-5.9418	
113	227.43	2.1951e-004	-13.029	
114	228.	2.0018e-004	-25.342	
115	229.09	1.5709e-004	-42.855	
116	231.2	9.9425e-005	-60.345	
117	235.28	5.305e-005	-72.561	
118	243.15	2.5144e-005	-79.369	
119	258.34	9.9818e-006	-82.121	
120	281.39	2.599e-006	-77.021	
121	294.98	5.013e-007	-5.3297	
122	313.41	3.3308e-006	78.022	
123	323.89	6.5145e-006	76.439	
124	329.6	1.0381e-005	67.786	
125	332.64	1.4366e-005	53.265	
126	334.23	1.6776e-005	37.958	
127	335.06	1.7471e-005	27.079	
128	335.5	1.7488e-005	20.838	
129	335.72	1.7381e-005	17.522	
130	335.84	1.7294e-005	15.796	
131	335.9	1.724e-005	14.902	
132	335.93	1.721e-005	14.439	
133	335.96	1.7176e-005	13.942	
134	336.	1.714e-005	13.446	
135	336.03	1.7105e-005	12.985	
136	336.09	1.7033e-005	12.097	
137	336.21	1.6878e-005	10.393	
138	336.43	1.6523e-005	7.1577	
139	336.87	1.5658e-005	1.2226	
140	337.7	1.3568e-005	-8.4844	
141	339.32	9.5037e-006	-18.953	
142	342.45	4.9584e-006	-8.6437	
143	343.5	4.466e-006	2.5614	
144	344.39	4.4424e-006	12.667	
145	347.56	6.6062e-006	29.232	
146	349.23	8.452e-006	21.408	
147	350.1	9.1875e-006	13.012	
148	350.55	9.3873e-006	7.7754	
149	350.79	9.426e-006	4.9113	
150	350.91	9.4274e-006	3.4027	
151	350.97	9.423e-006	2.6168	
152	351.	9.4194e-006	2.2089	
153	351.04	9.4144e-006	1.7701	
154	351.07	9.4084e-006	1.331	
155	351.11	9.4018e-006	0.92207	
156	351.17	9.3864e-006	0.13251	
157	351.29	9.3471e-006	-1.3899	
158	351.53	9.236e-006	-4.3056	
159	351.98	8.9034e-006	-9.7367	
160	352.86	7.9503e-006	-18.885	
161	354.55	5.8282e-006	-29.944	
162	357.82	2.9223e-006	-29.492	
163	364.12	1.6231e-006	40.767	
164	376.3	4.1468e-006	78.774	
165	399.82	9.3053e-006	83.65	
166	416.59	1.4672e-005	83.409	
167	423.32	1.7734e-005	82.966	
168	449.77	4.4904e-005	78.185	
169	464.81	1.0809e-004	68.433	
170	473.01	2.396e-004	52.202	
171	477.37	4.3818e-004	30.68	
172	479.65	6.1834e-004	10.033	
173	480.85	7.2155e-004	-4.3283	
174	481.47	7.6976e-004	-12.622	
175	481.79	7.9185e-004	-17.078	
176	481.96	8.0235e-004	-19.417	
177	482.05	8.0751e-004	-20.634	
178	482.09	8.1011e-004	-21.266	
179	482.14	8.1285e-004	-21.946	
180	482.19	8.1552e-004	-22.626	
181	482.23	8.1796e-004	-23.26	
182	482.32	8.225e-004	-24.485	
183	482.49	8.3069e-004	-26.853	
184	482.81	8.4433e-004	-31.419	
185	483.43	8.6275e-004	-40.121	
186	484.64	8.7463e-004	-56.037	
187	486.96	8.6659e-004	-82.949	
188	487.88	8.6836e-004	-92.784	
189	488.72	8.7542e-004	-101.98	
190	491.07	9.1114e-004	-129.89	
191	492.29	9.1754e-004	-146.78	
192	492.93	9.0935e-004	-156.1	
193	493.26	9.0107e-004	-161.02	
194	493.43	8.9564e-004	-163.58	
195	493.52	8.9252e-004	-164.91	
196	493.56	8.9082e-004	-165.59	
197	493.61	8.8894e-004	-166.33	
198	493.66	8.8699e-004	-167.07	
199	493.71	8.8512e-004	-167.76	
200	493.8	8.8136e-004	-169.08	
201	493.97	8.7354e-004	-171.63	
202	494.3	8.5651e-004	-176.51	
203	494.94	8.1753e-004	174.33	
204	496.17	7.2989e-004	158.08	
205	498.55	5.747e-004	133.06	
206	503.14	4.3341e-004	100.7	
