	Frequency [Hz]	Amplitude [mm/s]	Phase Angle [°]	
1	2.e-002	1.1815e-007	-90.	
2	63.61	4.7913e-004	-90.677	
3	74.521	6.2663e-004	-90.893	
4	83.322	7.8575e-004	-91.128	
5	89.859	9.4145e-004	-91.363	
6	94.42	1.079e-003	-91.575	
7	97.467	1.1897e-003	-91.755	
8	99.443	1.2725e-003	-91.914	
9	100.7	1.3311e-003	-92.079	
10	101.49	1.3705e-003	-92.275	
11	101.98	1.395e-003	-92.484	
12	102.29	1.409e-003	-92.647	
13	102.48	1.4166e-003	-92.741	
14	102.6	1.421e-003	-92.786	
15	102.67	1.4236e-003	-92.807	
16	102.71	1.4252e-003	-92.816	
17	102.74	1.4261e-003	-92.821	
18	102.76	1.4267e-003	-92.823	
19	102.77	1.4271e-003	-92.825	
20	102.77	1.4273e-003	-92.825	
21	102.78	1.4277e-003	-92.826	
22	102.79	1.428e-003	-92.827	
23	102.8	1.4283e-003	-92.827	
24	102.81	1.4286e-003	-92.828	
25	102.83	1.4292e-003	-92.829	
26	102.86	1.4302e-003	-92.829	
27	102.9	1.4318e-003	-92.827	
28	102.97	1.4344e-003	-92.819	
29	103.09	1.4389e-003	-92.794	
30	103.28	1.447e-003	-92.731	
31	103.59	1.4622e-003	-92.618	
32	104.09	1.4904e-003	-92.487	
33	104.91	1.54e-003	-92.42	
34	106.24	1.6262e-003	-92.468	
35	108.39	1.7828e-003	-92.669	
36	111.89	2.099e-003	-93.139	
37	117.57	2.8954e-003	-94.363	
38	118.23	3.0259e-003	-94.565	
39	122.8	4.3451e-003	-96.621	
40	126.77	6.8401e-003	-100.55	
41	129.34	1.0672e-002	-106.72	
42	130.97	1.6129e-002	-115.9	
43	132.	2.2746e-002	-128.17	
44	132.64	2.8883e-002	-141.86	
45	133.04	3.3001e-002	-154.13	
46	133.29	3.5103e-002	-163.32	
47	133.44	3.6012e-002	-169.49	
48	133.53	3.6374e-002	-173.43	
49	133.59	3.6513e-002	-175.89	
50	133.63	3.6565e-002	-177.41	
51	133.65	3.6585e-002	-178.35	
52	133.66	3.6592e-002	-178.93	
53	133.67	3.6594e-002	-179.29	
54	133.68	3.6595e-002	-179.86	
55	133.7	3.6593e-002	179.56	
56	133.7	3.6589e-002	179.21	
57	133.72	3.658e-002	178.63	
58	133.74	3.6558e-002	177.68	
59	133.78	3.6501e-002	176.16	
60	133.83	3.6355e-002	173.7	
61	133.93	3.5981e-002	169.76	
62	134.08	3.5054e-002	163.59	
63	134.33	3.2926e-002	154.4	
64	134.73	2.8777e-002	142.13	
65	135.39	2.261e-002	128.45	
66	136.45	1.5973e-002	116.18	
67	138.17	1.0505e-002	107.01	
68	140.98	6.6629e-003	100.87	
69	143.08	5.2143e-003	98.625	
70	144.58	4.5062e-003	97.56	
71	147.51	3.5518e-003	96.207	
72	149.38	3.1185e-003	95.647	
73	150.55	2.8875e-003	95.311	
74	151.28	2.7504e-003	95.043	
75	151.73	2.6626e-003	94.87	
76	152.02	2.6057e-003	94.805	
77	152.19	2.5695e-003	94.801	
78	152.3	2.547e-003	94.818	
79	152.36	2.533e-003	94.837	
80	152.4	2.5244e-003	94.852	
81	152.43	2.5191e-003	94.862	
82	152.44	2.5159e-003	94.869	
83	152.45	2.5139e-003	94.874	
84	152.47	2.5107e-003	94.882	
85	152.48	2.5075e-003	94.89	
86	152.49	2.5055e-003	94.895	
87	152.51	2.5022e-003	94.903	
88	152.53	2.4969e-003	94.919	
89	152.57	2.4884e-003	94.945	
90	152.64	2.4746e-003	94.994	
91	152.75	2.4525e-003	95.09	
92	152.92	2.4175e-003	95.282	
93	153.21	2.3635e-003	95.679	
94	153.66	2.2827e-003	96.491	
95	154.41	2.1643e-003	98.273	
96	154.83	2.1041e-003	99.69	
97	155.22	2.0572e-003	101.4	
98	155.97	2.0235e-003	106.08	
